pairs_per_user,seed,train_acc,test_acc,subspace_align,best_axis_match,min_abs_basis_cos,w_recovery,reward_dir_match
10,0,1.0,0.5124500004947186,0.23160843551158905,0.1871010959148407,0.014265906065702438,0.265,0.29499998688697815
10,1,1.0,0.5182999986410141,0.2479918897151947,0.2153656780719757,0.00502407643944025,0.275,0.3100000023841858
10,2,1.0,0.518525001257658,0.21492958068847656,0.1842631995677948,0.015550989657640457,0.265,0.2800000011920929
25,0,0.9697999942302704,0.5744000010192394,0.5863475203514099,0.44042807817459106,0.010808708146214485,0.415,0.6200000047683716
25,1,0.9687999951839447,0.5915499998629093,0.663918137550354,0.414059579372406,0.005684230476617813,0.43,0.7850000262260437
25,2,0.9695999950170517,0.5869499969482422,0.6404343843460083,0.4326438307762146,0.015191704034805298,0.295,0.7099999785423279
50,0,0.8935999962687492,0.7758749997615815,0.9403171539306641,0.7429270148277283,0.014756107702851295,0.805,1.0
50,1,0.8938999965786933,0.7761500000953674,0.9396559000015259,0.742134153842926,0.023465657606720924,0.79,1.0
50,2,0.8886999952793121,0.7712999978661537,0.9419933557510376,0.7495541572570801,0.004759279545396566,0.76,0.9950000047683716
100,0,0.8822499996423722,0.8311500000953674,0.9756205677986145,0.7827206254005432,0.024594716727733612,0.8,1.0
100,1,0.8789000004529953,0.8260500010848045,0.9764047861099243,0.7777143716812134,0.028362762182950974,0.79,1.0
100,2,0.8799500012397766,0.8288750004768372,0.9777750968933105,0.7736650109291077,0.033491238951683044,0.765,1.0
400,0,0.8800749966502189,0.8770749977231026,0.994498074054718,0.790247917175293,0.011401794850826263,0.815,1.0
400,1,0.8857999959588051,0.8789249983429909,0.9945749044418335,0.7832795977592468,0.009796921163797379,0.78,1.0
400,2,0.8836874973773956,0.8737499994039536,0.9945899844169617,0.7810062170028687,0.025522246956825256,0.76,1.0
1000,0,0.891050000488758,0.8921749958395958,0.9978916049003601,0.7861493825912476,0.003803991712629795,0.8,1.0
1000,1,0.8901400002837181,0.8886499977111817,0.9979058504104614,0.7889008522033691,0.05025385320186615,0.785,1.0
1000,2,0.8900799998641014,0.8888999959826469,0.9977462887763977,0.7829505205154419,0.026264362037181854,0.76,1.0
